,time,task_name,group_name
0,1,"D8,D6",raw
1,2,"D8,D6",raw
2,3,"D8,D6",raw
3,4,"D8,D6",raw
4,5,"D8,D6",raw
5,6,"D8,D6",raw
6,7,"D8,D6",raw
7,8,"D8,D6",raw
8,9,"D8,D6",raw
9,10,"D8,D6",raw
10,11,"D8,D6",raw
11,12,"D8,D6",raw
12,13,"D8,D5",raw
13,14,"D8,D5",raw
14,15,"D8,D5",raw
15,16,"D8,D5",raw
16,17,"D5,D4",raw
17,18,"D5,D4",raw
18,19,"D5,D4",raw
19,20,"D5,D4",raw
20,21,"D5,D4",raw
21,22,"D5,D4",raw
22,23,"D4,D7",raw
23,24,"D4,D7",raw
24,25,"D4,D7",raw
25,26,"D7,D2",raw
26,27,"D7,D2",raw
27,28,"D7,D2",raw
28,29,"D2,D3",raw
29,30,"D2,D3",raw
30,31,"D2,D3",raw
31,32,"D2,D3",raw
32,33,"D2,D3",raw
33,34,"D2,D3",raw
34,35,"D2,D3",raw
35,36,"D2,D3",raw
36,37,"D2,D3",raw
37,38,"D2,D3",raw
38,39,"D2,D3",raw
39,40,"D2,D3",raw
40,41,"D2,D3",raw
41,42,"D2,D1",raw
42,43,"D2,D1",raw
43,44,"D2,D1",raw
44,45,"D2,D1",raw
45,46,"D2,D1",raw
46,47,"D2,D1",raw
47,48,"D2,D1",raw
48,49,"D2,D1",raw
49,50,"D2,D1",raw
50,51,"D2,D1",raw
51,52,"D2,D1",raw
52,53,"D2,D1",raw
53,54,"D2,D1",raw
54,55,"D2,D1",raw
55,56,"D2,D1",raw
56,57,"D2,D1",raw
57,58,"D2,D1",raw
58,59,"D2,D1",raw
59,60,"D2,D1",raw
60,61,"D2,D1",raw
61,62,"D2,D1",raw
62,63,"D2,D1",raw
63,64,"D2,D1",raw
64,65,"D2,D1",raw
65,66,"D2,D1",raw
66,67,"D2,D1",raw
67,68,"D2,D1",raw
68,69,"D2,D1",raw
69,70,"D1,N1",raw
70,71,"D1,N1",raw
71,72,"D1,N1",raw
72,73,"D1,N1",raw
73,74,"D1,N1",raw
74,75,"D1,N1",raw
75,76,"D1,N1",raw
76,77,"D1,N1",raw
77,78,"D1,N1",raw
78,79,"D1,N1",raw
79,80,N1,
80,81,N1,
81,82,"F7,F3",feature
82,83,"F7,F3",feature
83,84,"F7,F1",feature
84,85,"F7,F6",feature
85,86,"F7,F6",feature
86,87,"F7,F6",feature
87,88,"F7,F6",feature
88,89,"F6,F2",feature
89,90,"F6,F2",feature
90,91,"F6,F2",feature
91,92,"F6,F2",feature
92,93,"F6,F2",feature
93,94,"F6,F2",feature
94,95,"F6,F2",feature
95,96,"F6,F2",feature
96,97,"F6,F2",feature
97,98,"F6,F2",feature
98,99,"F6,F2",feature
99,100,"F6,F2",feature
100,101,"F6,F2",feature
101,102,"F6,F2",feature
102,103,"F6,F2",feature
103,104,"F6,F2",feature
104,105,"F6,F2",feature
105,106,"F6,F4",feature
106,107,"F6,F4",feature
107,108,"F6,F4",feature
108,109,"F6,F4",feature
109,110,"F6,F4",feature
110,111,"F6,F4",feature
111,112,"F6,F4",feature
112,113,"F6,F4",feature
113,114,"F6,F4",feature
114,115,"F6,F4",feature
115,116,"F6,F4",feature
116,117,"F6,F4",feature
117,118,"F6,F4",feature
118,119,"F6,F5",feature
119,120,"F6,F5",feature
120,121,"F6,F5",feature
121,122,"F6,F5",feature
122,123,"F6,F5",feature
123,124,"F6,F5",feature
124,125,"F6,F5",feature
125,126,"F6,F5",feature
126,127,F6,feature
127,128,F6,feature
128,129,F6,feature
129,130,F6,feature
130,131,"M2,M3",model
131,132,"M2,M3",model
132,133,"M2,M3",model
133,134,"M2,M3",model
134,135,"M2,M3",model
135,136,"M2,M3",model
136,137,"M2,M3",model
137,138,"M2,M3",model
138,139,"M2,M3",model
139,140,"M2,M3",model
140,141,"M2,M3",model
141,142,"M2,M3",model
142,143,"M2,M3",model
143,144,"M2,M3",model
144,145,"M2,M3",model
145,146,"M2,M3",model
146,147,"M2,M3",model
147,148,"M2,M3",model
148,149,"M2,M3",model
149,150,"M2,M3",model
150,151,"M2,M3",model
151,152,"M2,M4",model
152,153,"M2,M4",model
153,154,"M2,M4",model
154,155,"M2,M4",model
155,156,"M2,M4",model
156,157,"M2,M4",model
157,158,"M2,M4",model
158,159,"M2,M4",model
159,160,"M2,M4",model
160,161,"M2,M4",model
161,162,"M2,M4",model
162,163,"M2,M4",model
163,164,"M2,M4",model
164,165,"M2,M4",model
165,166,"M2,M4",model
166,167,"M2,M4",model
167,168,"M2,M4",model
168,169,"M2,M4",model
169,170,"M2,M4",model
170,171,"M2,M4",model
171,172,"M2,M4",model
172,173,"M2,M4",model
173,174,"M2,M4",model
174,175,"M2,M4",model
175,176,"M2,M4",model
176,177,"M2,M4",model
177,178,"M2,M4",model
178,179,"M2,M4",model
179,180,"M2,M4",model
180,181,"M2,M4",model
181,182,"M4,M1",model
182,183,"M4,M1",model
183,184,"M4,M1",model
184,185,"M4,M1",model
185,186,"M4,M1",model
186,187,"M4,M1",model
187,188,"M4,M1",model
188,189,"M4,M1",model
189,190,M1,model
190,191,M1,model
191,192,M1,model
192,193,M1,model
193,194,M1,model
194,195,M1,model
195,196,M1,model
196,197,M1,model
197,198,M1,model
198,199,M1,model
199,200,M1,model
200,201,M1,model
201,202,M1,model
202,203,M1,model
203,204,M1,model
204,205,M1,model
205,206,M1,model
206,207,M1,model
207,208,"MM2,MM1",meta_models
208,209,"MM2,MM1",meta_models
209,210,"MM2,MM1",meta_models
210,211,"MM2,MM1",meta_models
211,212,"MM2,MM1",meta_models
212,213,"MM2,MM1",meta_models
213,214,"MM2,MM1",meta_models
214,215,"MM2,MM1",meta_models
215,216,"MM2,MM1",meta_models
216,217,"MM2,MM1",meta_models
217,218,"MM2,MM1",meta_models
218,219,"MM2,MM1",meta_models
219,220,"MM2,MM1",meta_models
220,221,"MM2,MM1",meta_models
221,222,"MM2,MM1",meta_models
222,223,"MM2,MM1",meta_models
223,224,"MM2,MM1",meta_models
224,225,"MM2,MM1",meta_models
225,226,"MM2,MM1",meta_models
226,227,MM2,meta_models
227,228,MM2,meta_models
