,time,task_name,group_name
0,1,"A,A1",raw
1,2,"A,A1",raw
2,3,"A,A1",raw
3,4,"A,A1",raw
4,5,"A,A1",raw
5,6,"A,D",raw
6,7,"A,D",raw
7,8,"A,D",raw
8,9,"A,D",raw
9,10,A,raw
10,11,A,raw
11,12,A,raw
12,13,A,raw
13,14,A,raw
14,15,A,raw
15,16,A,raw
16,17,A,raw
17,18,A,raw
18,19,A,raw
19,20,A,raw
20,21,A,raw
21,22,A,raw
22,23,A,raw
23,24,A,raw
24,25,A,raw
25,26,A,raw
26,27,A,raw
27,28,A,raw
28,29,A,raw
29,30,A,raw
30,31,A,raw
31,32,A,raw
32,33,A,raw
33,34,A,raw
34,35,A,raw
35,36,A,raw
36,37,A,raw
37,38,A,raw
38,39,A,raw
39,40,A,raw
40,41,A,raw
41,42,A,raw
42,43,A,raw
43,44,A,raw
44,45,A,raw
45,46,A,raw
46,47,A,raw
47,48,A,raw
48,49,"H,B",feature
49,50,"H,B",feature
50,51,"H,B",feature
51,52,"H,B",feature
52,53,"H,B",feature
53,54,"H,B",feature
54,55,"H,B",feature
55,56,"H,B",feature
56,57,"H,B",feature
57,58,"H,B",feature
58,59,"H,B",feature
59,60,"H,B",feature
60,61,"H,B",feature
61,62,"H,B",feature
62,63,"H,B",feature
63,64,"H,B",feature
64,65,"H,B",feature
65,66,"H,B",feature
66,67,"H,B",feature
67,68,"H,B",feature
68,69,"H,B",feature
69,70,"H,B",feature
70,71,"H,B",feature
71,72,"H,B",feature
72,73,"H,B",feature
73,74,"H,B",feature
74,75,"H,C",feature
75,76,"H,C",feature
76,77,"H,C",feature
77,78,"C,E",feature
78,79,"C,E",feature
79,80,"C,E",feature
80,81,"C,E",feature
81,82,"C,E",feature
82,83,"C,E",feature
83,84,"C,E",feature
84,85,"C,E",feature
85,86,"C,E",feature
86,87,"C,E",feature
87,88,"C,E",feature
88,89,"C,E",feature
89,90,"C,E",feature
90,91,"C,E",feature
91,92,"C,E",feature
92,93,"C,E",feature
93,94,"C,E",feature
94,95,"C,E",feature
95,96,"C,E",feature
96,97,"C,E",feature
97,98,C,feature
98,99,C,feature
99,100,C,feature
100,101,C,feature
101,102,C,feature
102,103,C,feature
103,104,C,feature
104,105,C,feature
105,106,C,feature
106,107,C,feature
107,108,C,feature
108,109,C,feature
109,110,C,feature
110,111,C,feature
111,112,C,feature
112,113,C,feature
113,114,C,feature
114,115,C,feature
115,116,C,feature
116,117,C,feature
117,118,C,feature
118,119,C,feature
119,120,C,feature
120,121,C,feature
121,122,C,feature
122,123,C,feature
123,124,C,feature
124,125,C,feature
125,126,C,feature
126,127,C,feature
127,128,C,feature
128,129,C,feature
129,130,"Z,F",model
130,131,"Z,F",model
131,132,"Z,F",model
132,133,"Z,F",model
133,134,"Z,F",model
134,135,"Z,F",model
135,136,"Z,F",model
136,137,"Z,F",model
137,138,"Z,F",model
138,139,"Z,F",model
139,140,"Z,F",model
140,141,"Z,F",model
141,142,"Z,F",model
142,143,"Z,F",model
143,144,"Z,F",model
144,145,"Z,F",model
145,146,"Z,F",model
146,147,"Z,F",model
147,148,"Z,F",model
148,149,"Z,F",model
149,150,"Z,F",model
150,151,"Z,F",model
151,152,"Z,F",model
152,153,"Z,F",model
153,154,"Z,G",model
154,155,"Z,G",model
155,156,"Z,G",model
156,157,"Z,G",model
157,158,"Z,G",model
158,159,"Z,G",model
159,160,"Z,G",model
160,161,"Z,G",model
161,162,"Z,G",model
162,163,"Z,G",model
163,164,"Z,G",model
164,165,"Z,G",model
165,166,"Z,G",model
166,167,"Z,G",model
167,168,"Z,G",model
168,169,"Z,G",model
169,170,"Z,G",model
170,171,"Z,G",model
171,172,"Z,G",model
172,173,"Z,G",model
173,174,"Z,G",model
174,175,"Z,G",model
175,176,"Z,G",model
176,177,"Z,G",model
177,178,"Z,G",model
178,179,"Z,G",model
179,180,"Z,G",model
180,181,"Z,G",model
181,182,"Z,G",model
182,183,"Z,G",model
183,184,"Z,G",model
184,185,"Z,G",model
185,186,"Z,G",model
186,187,"Z,G",model
187,188,G,model
188,189,G,model
189,190,G,model
190,191,G,model
191,192,G,model
192,193,G,model
